#{"t_start": 1764679826.621898, "env_id": "None"}
-24.3451,13,200.904271
-9.777316,17,201.049113
-27.245396,10,201.325454
-38.768195,6,201.500958
-3.526314,20,201.812934
-15.34664,16,202.079979
-27.188982,11,202.219765
44.200526,33,202.465306
-40.747256,5,202.584929
-14.725522,15,202.814729
-27.757413,11,203.036419
-29.219283,11,203.218078
-29.313836,10,203.425778
17.213878,27,203.842657
-34.825877,7,204.031058
-2.699316,20,204.189692
-18.480221,14,204.473858
-34.435055,8,204.665623
-42.627285,4,204.781681
-35.515778,8,204.957049
26.711347,28,205.243428
-11.788233,17,205.404689
-37.533837,7,205.588917
-17.970355,14,205.841048
-38.582715,6,205.990521
-6.256795,21,206.147966
27.808733,29,206.540044
-16.198799,15,206.820593
-35.46721,8,206.965253
-38.673046,6,207.105962
-34.978193,8,207.282838
15.281913,24,207.632027
-26.528451,11,207.779684
-31.835056,9,207.957247
-25.586801,13,208.089484
-0.719855,21,208.398299
-16.913057,16,208.588803
-14.874368,15,208.786364
-19.810068,13,208.932068
-20.880647,13,209.097397
15.603856,26,209.446015
-37.586555,7,209.583422
-39.709159,6,209.752346
-27.716924,11,209.910613
-22.060996,14,210.040515
-28.575822,11,210.270303
26.013659,31,210.664129
-26.071214,11,210.8704
-34.381339,8,211.010601
-30.54421,10,211.187582
-40.608178,5,211.339966
-8.076967,18,211.703808
-26.269576,11,211.930482
-28.64061,10,212.084845
-29.963322,10,212.202766
-28.597137,9,212.335432
-29.044129,11,212.467182
-6.276542,20,212.647422
-28.912125,11,212.806906
-1.937724,20,212.989073
-24.865322,12,213.163345
-33.791544,9,213.331286
-34.410859,8,213.501699
135.243837,68,214.027903
-29.762129,11,214.169406
-35.972254,7,214.329821
-1.369433,21,214.685988
-25.955123,11,214.905939
-34.364661,8,215.026316
-4.865278,18,215.206332
-27.774204,11,215.374736
1.08247,23,215.815238
-11.062987,17,216.090834
-32.808303,9,216.233633
-41.593249,5,216.386555
1.24683,23,216.64797
28.767165,33,216.947586
-19.493558,15,217.109778
-33.127053,9,217.294823
-9.441196,18,217.585518
-22.383746,13,217.762145
-37.44046,7,217.951048
-17.544752,16,218.191286
2.571195,21,218.405832
-20.069824,14,218.652579
-7.1679,18,218.909423
-18.128438,14,219.160008
-22.334334,14,219.388252
1.207212,22,219.625877
31.412867,34,219.996989
-35.10685,8,220.140561
-18.726967,15,220.311984
8.923425,24,220.497351
-22.818113,13,220.656011
24.311555,32,220.86777
-31.262426,10,221.054779
-2.808839,20,221.25515
-33.377392,9,221.411612
-15.532795,15,221.598028
-21.200068,14,221.840231
-18.771283,13,222.097143
-23.024868,14,222.291295
-16.547249,16,222.478485
-12.77284,17,222.759701
9.64472,27,223.108247
-26.553346,12,223.271798
-39.513649,6,223.38788
-11.338218,17,223.691689
-43.006642,4,223.79545
-27.626082,12,224.017542
-25.105639,12,224.213706
-19.492576,15,224.46176
-36.539256,7,224.623017
0.077963,22,226.171742
-14.925949,15,226.407954
-23.778091,13,226.534324
-36.133576,8,226.736803
-40.558441,5,226.861303
12.464044,33,227.298405
-29.796554,10,227.472448
-23.750977,12,227.703316
-23.357735,14,227.921046
-27.993242,11,228.03476
-24.567935,12,228.201853
-22.86302,12,228.353612
-15.511843,15,228.533164
-11.009233,17,228.690429
-31.828952,9,228.826522
-28.489392,11,228.962894
-19.797992,13,229.192906
-0.79442,22,229.432978
-8.170694,19,229.692873
-39.238624,6,229.856949
-41.675041,5,229.991974
-30.78473,9,230.18615
11.392763,28,230.50285
-30.250033,10,230.663022
-25.461999,12,230.835774
-12.748448,17,231.045588
5.292068,26,231.239769
-11.317584,17,231.523527
-29.538666,9,231.70042
15.580306,31,231.954527
-12.167888,18,232.146297
-32.01587,10,232.326133
9.257512,28,232.658603
-28.297882,10,232.80452
-10.848944,18,232.975609
-38.762674,6,233.160996
-23.058975,13,233.366894
-27.876244,11,233.513149
-15.976942,15,233.685803
-40.897258,5,233.813541
-24.655982,12,233.960241
-25.495196,12,234.225045
-18.788263,14,234.449837
-19.747433,16,234.609447
-25.675899,11,234.726151
-30.189042,10,234.8666
-5.68086,22,235.056913
-30.397073,10,235.286003
-37.857975,7,235.422807
34.013502,39,235.935962
-27.333375,11,236.092189
12.253712,25,236.526634
5.112665,22,236.730956
-34.967444,8,236.857605
-45.248945,3,236.975157
-30.989554,10,237.100496
-39.168529,6,237.225496
-25.803616,13,237.422775
-41.430786,5,237.595868
-7.196518,20,237.776105
-20.790592,14,237.966655
-39.787201,5,238.096234
-36.226772,7,238.247117
-6.823988,21,238.454136
-6.713671,20,238.771373
-39.210516,6,238.890946
-5.714705,21,239.136648
-33.630116,9,239.292832
-34.023274,8,239.434316
-16.805629,16,239.586088
-28.833157,11,239.75483
-36.145522,7,239.922292
-40.728984,5,240.065109
-40.279358,5,240.174756
-22.447121,12,240.407931
-13.909176,18,240.584459
-12.266355,17,240.760414
-18.546762,14,240.997565
-18.911542,13,241.147158
-24.234129,12,241.330535
-2.977424,21,241.625107
-38.540687,6,241.751376
-29.994838,11,241.889872
-33.54743,8,241.996209
-23.565785,12,242.140768
-4.615006,21,242.291509
-15.314704,17,242.600893
-41.19443,5,242.702702
-28.366698,10,242.940636
5.330776,24,243.2578
-14.063264,16,243.516862
-29.836612,11,243.63209
6.024051,27,243.898183
-30.133467,10,244.046817
-37.125016,7,244.190365
-27.815731,12,244.409955
-36.098912,8,244.547868
-9.481639,19,244.716063
-35.102024,8,244.888616
-16.454853,16,245.046021
-24.621039,12,245.194255
-25.956331,11,245.352068
-19.104319,15,245.647581
-31.798365,10,246.058806
-35.302899,8,246.191111
-42.941129,4,246.339475
-13.195496,19,246.606735
34.106753,31,246.967822
-22.854057,11,247.181087
-22.507206,14,247.415304
-34.950845,8,247.595288
-29.946772,10,247.733419
-41.360827,5,247.873492
-25.287782,11,248.024928
-4.871791,22,248.355178
6.212009,23,248.703189
40.388135,37,249.114778
-31.126132,10,249.325125
-23.763689,13,249.491782
-35.52681,8,249.704547
60.490944,38,250.133245
-37.571519,7,250.327669
29.901935,34,250.568697
23.149106,36,251.080318
-35.160674,7,251.185061
-39.444485,6,251.341686
-37.54422,7,251.528114
-34.168257,8,251.693238
-10.134739,18,251.912797
-24.070326,13,252.087502
-8.317989,18,252.380385
-23.164403,12,252.497369
28.772359,27,252.868833
-5.35911,18,253.199354
-18.148803,16,253.383714
-23.397895,13,253.604237
10.343452,28,253.824103
-32.661954,9,253.96495
-9.352692,21,254.271016
5.274117,24,254.517137
-21.279829,15,254.683603
-31.575822,9,254.820167
-25.780334,13,254.951013
-5.397208,21,255.174232
-37.396351,7,255.291949
-19.247326,15,255.502284
-37.714652,7,255.622171
-38.788418,6,255.755616
-27.901952,11,255.916402
0.362182,24,256.226239
-3.9243,22,256.596058
-40.23285,5,256.704824
-30.498382,10,256.934231
-3.742209,19,257.172268
-28.75358,10,257.341461
-26.574256,12,257.53582
-19.711936,14,257.805834
-34.004819,8,257.958018
-28.249583,11,258.166927
-16.292272,14,258.44111
-28.590827,10,258.652712
-37.325691,7,258.846954
1.302271,23,259.026343
-36.636391,7,259.195733
-32.174851,9,259.365363
-3.627656,22,259.649413
-19.641321,15,259.835097
-33.217859,9,260.052916
32.827189,37,260.386394
-30.713483,10,260.583681
-1.643811,22,260.89747
-3.713239,22,261.181406
-0.764148,22,261.471112
-32.313389,9,261.589583
-22.110252,13,261.77968
9.913016,28,262.186928
-19.696661,15,262.378148
-14.936616,18,262.678948
-35.495214,8,262.836483
53.080741,41,263.282849
-9.534105,18,263.542015
-8.405877,18,263.736618
-19.127607,14,263.905856
-19.528809,16,264.113234
21.856333,30,264.418592
4.26453,24,264.713747
-34.217904,8,264.862505
-38.645226,6,264.988156
-1.758769,23,265.295876
-19.404849,16,265.504838
-41.165861,5,265.65918
-22.047499,13,265.814094
-39.327821,6,266.000177
14.186345,26,266.213551
-39.331101,6,266.391293
-39.069488,6,266.505054
-13.872297,16,266.773397
-36.681807,7,266.935094
3.616698,23,267.215519
-34.813933,8,267.325619
-26.357662,13,267.600141
2.021464,22,267.952056
-0.71918,23,268.163639
-33.399888,9,268.340907
-18.284549,16,268.518089
45.050728,36,268.970406
-7.21666,20,269.149465
-17.232685,16,269.388141
-24.350776,14,269.649372
2.506102,24,269.853816
-20.229761,15,270.060818
-38.481044,6,270.255018
52.400841,43,270.528367
77.026535,40,270.959971
-39.581831,6,271.062211
-5.336856,20,271.254739
-12.015684,17,271.546498
-8.569531,20,271.81402
-29.734638,11,271.94813
-27.372325,11,272.115482
21.896875,30,272.421528
-31.018296,10,272.616071
5.708478,24,272.783839
-33.682753,9,272.941822
-23.033584,14,273.141645
-41.021169,5,273.299639
-22.83682,14,273.455087
-13.996154,18,273.686818
-19.370632,15,273.940804
-39.174209,6,274.113643
-39.37696,6,274.251605
1.332761,21,274.545547
-32.908946,9,274.991127
2.595351,24,275.341339
-22.439423,15,275.502557
-11.10623,19,275.721561
-0.165253,20,275.947919
-31.68201,10,276.122157
-33.722515,8,276.292036
-38.979244,6,276.413981
68.340205,46,276.830639
40.177821,35,277.328624
-37.425708,7,277.471435
-17.935245,15,277.742422
-27.095698,11,277.961105
-1.997831,20,278.177348
-30.951706,9,278.320033
-41.061861,5,278.467865
-3.537825,21,278.71339
-29.616424,10,278.94969
3.231053,22,279.132628
-4.509624,22,279.388654
8.450562,27,279.646733
-38.968306,6,279.815236
5.667599,24,280.112925
-6.185238,21,280.400223
-24.157203,13,280.641854
-33.380059,9,280.811397
13.51347,26,281.10492
-40.927536,5,281.244691
-35.70002,8,281.389109
-33.227872,8,281.532522
-35.385566,8,281.729741
-19.967797,13,281.895879
-32.192377,9,282.035643
-37.0187,7,282.238956
-27.833295,11,282.395826
-33.656016,8,282.525725
0.139936,22,282.722081
-23.334617,15,282.899462
-24.146753,14,283.055271
-39.978058,5,283.221094
-24.430944,13,283.371252
-30.063705,10,283.592772
-37.670741,7,283.72436
-28.21958,10,283.902045
37.748881,32,284.108179
-25.600055,13,284.299255
-14.4292,18,284.506128
-24.372735,13,284.681268
-14.249675,17,284.854147
13.614848,24,285.153663
-41.75967,5,285.274346
-36.225218,8,285.463587
-31.867574,10,285.671599
-19.720016,14,285.821884
-26.645258,12,286.029002
-33.230262,9,286.277695
39.169834,39,286.759685
-22.85823,13,287.010321
-21.861369,14,287.274889
-29.070475,11,287.509215
1.81685,22,287.664254
-20.725113,14,287.940783
-18.049589,16,288.093168
-41.057173,5,288.257515
-4.508705,21,288.407544
-36.891654,7,288.575574
-27.74497,12,288.809891
-31.880519,9,288.990704
-36.494151,7,289.152404
-32.721771,9,289.347967
-24.911689,12,289.559142
-12.014411,17,289.748748
-19.410944,15,289.898582
-25.46398,13,290.081359
-32.388468,9,290.275416
-30.526862,10,290.473303
-29.942486,10,290.606239
-5.370083,18,290.772438
-30.244034,10,290.981159
-38.892593,6,291.114628
-9.719701,19,291.297707
-33.11504,9,291.441972
-22.147173,13,291.717953
-33.852226,8,291.866373
-5.535902,21,292.209907
-37.288725,7,292.40062
-39.170303,6,292.523657
-9.7297,18,292.765227
8.376878,31,293.234412
-28.894078,10,293.393803
-32.103903,9,293.518832
-34.219456,8,293.714254
-22.223342,14,293.907331
-36.196936,7,294.028404
-22.073021,14,294.227718
-5.110437,20,294.392225
-35.581683,8,294.550022
4.010343,24,294.850672
-10.154014,19,295.164942
-27.826651,10,295.347794
13.446853,30,295.572688
-11.213207,17,295.756353
-7.693844,19,295.906179
-32.537927,8,296.025644
-28.7215,12,296.175874
-21.717329,14,296.351639
-5.318453,20,296.657557
-39.508266,6,296.773573
-27.343479,12,296.963099
-24.962538,13,297.20535
-23.923469,13,297.416989
-26.896476,12,300.695084
-41.823949,5,300.852256
-18.812369,15,300.996869
-37.139566,7,301.180085
-20.458225,15,301.423626
-34.27778,8,301.56675
-18.112512,16,301.734757
-26.714106,12,301.998951
-25.170605,12,302.17448
-39.346657,6,302.35403
-10.158518,19,302.678411
-38.737256,6,302.806598
-19.775229,14,303.103428
-34.464935,8,303.23389
-10.509286,20,303.394694
-43.561377,4,303.525381
-40.593668,5,303.668793
-27.472602,10,303.835056
13.239724,31,304.136191
-7.14368,19,304.386832
-1.174057,22,304.699464
-39.451323,6,304.851166
-37.565507,7,305.138374
-33.075918,9,305.26809
-17.479041,16,305.578465
-31.051453,10,305.775028
14.351286,28,306.002166
-40.798114,5,306.149701
-26.481177,12,306.409357
-30.030093,11,306.618022
-13.91191,17,306.94576
-2.79964,20,307.177206
5.147501,30,307.604211
-25.407377,12,307.774589
-34.538651,8,307.967836
-37.826856,7,308.155377
6.539626,26,308.712155
-25.365068,12,308.913146
-2.005129,21,309.258963
-18.345408,16,309.436198
31.330982,30,309.699108
-0.689074,26,310.028584
-19.344201,15,310.329902
-1.507535,23,310.647299
-10.73672,19,310.866928
-11.78162,19,311.161917
-9.766856,19,311.366483
-33.512175,9,311.507377
97.050274,59,312.053002
-33.00737,9,312.199814
-5.906062,21,312.433989
-23.808909,12,312.641109
-15.33521,15,312.802282
18.556657,33,313.236659
38.864015,42,313.753294
4.103109,30,314.175766
-3.104813,23,314.47851
3.468487,28,314.916348
53.280954,43,315.463869
-6.943993,19,315.716847
-34.861186,8,315.918804
55.291922,45,316.448571
10.305803,27,316.825394
-25.541882,11,317.058859
-31.228598,9,317.246963
-31.024319,10,317.460537
-28.971381,11,317.617243
-24.132771,13,317.743032
-31.054902,10,317.925976
-29.685555,10,318.126372
-28.644564,10,318.301397
-21.643905,13,318.465864
-25.475844,12,318.650718
22.116907,31,318.907835
-21.725644,15,319.212758
-21.568311,13,319.421466
-43.121984,4,319.573363
-34.81317,8,319.686435
-31.172842,10,319.846322
-33.236584,9,320.027533
-24.00462,12,320.227378
-23.876751,12,320.392445
41.578049,39,320.995458
-16.754747,15,321.274542
-30.772177,10,321.491654
-41.133507,5,321.685929
50.731425,37,322.147101
-15.660673,15,322.35888
-33.815565,9,322.49492
12.465814,26,322.881777
-32.628179,9,323.070636
-7.75593,20,323.386935
-23.342623,14,323.625171
-26.947191,10,323.806538
29.864837,37,324.159016
-3.079891,22,324.360221
-8.047508,21,324.685417
-31.704199,10,324.832749
-19.174673,16,325.129626
-17.958663,15,325.349214
-40.695769,5,325.481571
-31.948426,10,325.652409
-6.264794,22,325.967868
-21.548857,14,326.226063
-2.638699,22,326.380946
-5.543872,20,326.645857
-36.79625,7,326.811909
-37.441399,7,327.016489
-10.25572,22,327.336843
-13.913897,18,327.634571
-37.786683,7,327.768786
-31.910503,10,327.964664
3.323277,25,328.213372
-30.111131,11,328.445281
-34.12588,8,328.629481
-14.726269,18,328.821816
-29.499753,11,328.958716
-31.446982,9,329.13032
269.705598,107,329.935921
-30.732181,9,330.15542
-21.409639,15,330.404164
32.622617,35,330.913561
18.858391,28,331.328982
-20.445529,14,331.542394
-11.821372,16,331.719959
-12.494895,20,332.062902
-17.828181,16,332.353226
-18.463447,15,332.518465
-27.8051,12,332.720927
41.610211,39,333.217092
-35.771912,8,333.402423
-16.154437,17,333.555082
-14.461227,17,333.741263
-29.863461,11,333.931489
-33.053702,9,334.111644
-33.520839,9,334.305886
-19.807004,16,334.587608
-21.128864,15,334.784278
-26.710276,13,335.03108
-6.610917,21,335.318663
-29.04953,10,335.553758
-33.914214,8,335.678228
4.29048,22,335.976728
-12.470398,17,336.261859
-21.004063,14,336.422972
18.746937,32,336.68447
-22.68698,13,336.962953
-36.145567,7,337.065684
9.114388,28,337.403169
-17.1871,17,338.008739
-33.025438,9,338.160944
-31.424728,9,338.363896
-17.04965,16,338.607695
13.913011,30,339.090126
25.319049,33,339.608614
-30.284585,10,339.810156
-30.541301,11,340.055723
-36.13998,8,340.193838
0.005892,22,340.580566
-23.199073,14,340.82353
-18.425919,16,341.108993
-39.141181,6,341.259616
-12.721098,18,341.529853
-29.603015,11,341.705601
-0.127039,21,341.897241
-26.620563,12,342.082506
-27.950065,12,342.23956
-3.19386,24,342.500559
-35.054518,8,342.667735
29.997988,37,343.053976
-1.577647,22,343.269753
-32.478668,9,343.446498
-36.194897,7,343.609947
-26.378047,12,343.784374
14.376621,27,344.022795
-21.311502,15,344.225869
-2.890047,22,344.470954
-14.843936,16,344.697629
21.471836,36,344.985346
-31.619854,9,345.217768
-21.408191,12,345.44225
-28.850485,11,345.638394
-14.730036,17,345.91575
-37.963203,7,346.083659
-33.457516,9,346.277862
29.967161,36,346.585322
1.921957,22,346.7877
-28.637947,11,346.995328
-25.921723,12,347.136035
-25.959319,12,347.354431
-9.59054,20,347.691103
-31.825477,9,347.910319
-23.635115,14,348.173428
-21.59915,13,348.315841
5.401131,26,348.737912
-29.801481,10,348.931571
-33.480758,9,349.17395
22.222777,32,349.599318
-9.963786,19,349.831259
-36.475951,7,349.982323
-31.557419,9,350.196651
19.27255,31,350.471461
0.1814,22,350.656719
-5.092881,25,350.847616
-14.559997,17,351.065542
-4.247936,22,351.241163
-43.065886,4,351.363924
-17.336678,16,351.52452
-20.843354,13,351.749648
4.992696,27,352.199306
-0.025266,23,352.535012
28.944408,34,353.046212
-4.53478,22,353.433942
-31.488164,9,353.662873
-18.914126,16,353.887795
-26.583047,12,354.133486
15.314028,31,354.502735
42.845926,35,354.79809
3.205321,27,355.068504
20.753854,37,355.540933
-22.651006,14,355.779311
-15.048493,17,356.04737
-26.431846,11,356.213194
-41.47842,5,356.33979
-37.352902,7,356.491793
-32.006572,10,356.680159
-36.804358,7,356.852157
-7.061611,19,357.0173
-15.968097,16,357.246391
-3.398596,20,357.502071
-21.108084,13,357.727955
-30.602479,10,357.918034
-20.53945,13,358.169563
-13.164542,19,358.362095
-13.074389,19,358.613876
-30.341267,10,358.814018
-36.570021,7,358.930859
-33.536133,9,359.075081
-41.521503,5,359.180957
-38.864664,6,359.328685
20.433121,33,359.565856
-18.581772,14,359.753713
28.105391,35,360.252314
-2.419357,22,360.607625
-6.240029,21,360.814417
-25.030705,13,361.000526
-7.635244,21,361.253983
-32.893454,9,361.439634
12.607013,32,361.684387
-7.313571,20,361.831089
-0.156906,23,362.062846
-43.028438,4,362.199965
-23.931055,14,362.412429
-20.365567,15,362.672438
3.518911,25,362.985648
41.241988,40,363.543076
11.143605,27,363.900523
20.669515,35,364.28252
-18.684964,15,364.583885
-23.004437,13,364.759288
-25.105837,13,364.961062
9.084504,28,365.256664
-32.142577,9,365.431843
-8.798961,19,365.775887
-37.281564,6,365.935977
-27.582627,12,366.114286
-15.010334,18,366.413038
-19.727478,14,366.623025
-33.977096,9,366.782226
-26.066371,12,367.22
-21.830698,14,367.422773
-16.719295,17,367.710387
-25.398046,14,367.966779
-33.872634,9,368.166602
3.133346,25,368.502009
-39.529392,6,368.680678
-39.354371,6,368.852093
3.358362,27,369.292631
-24.788661,13,369.447815
4.893804,26,369.81352
3.149257,25,370.155854
-39.169757,6,370.316797
-19.96418,14,370.534519
-36.030154,8,370.703758
-33.728621,9,370.941574
-29.045073,11,371.118184
-31.430152,10,371.274055
-28.635108,12,371.494649
2.586153,25,371.662246
-39.510309,6,371.818425
-34.124851,9,371.953083
-17.548549,15,372.254144
-33.766005,9,372.386314
29.295005,36,372.70802
-1.555468,22,372.918122
-32.473826,10,373.078803
-31.833752,10,373.289843
-10.941582,18,373.512511
3.230506,26,375.453656
-32.015711,9,375.667579
-30.173039,11,375.884233
-25.172924,13,376.137335
19.709756,30,376.473637
0.909292,25,376.744928
-4.85705,22,377.063143
-33.985026,8,377.171399
-39.440105,6,377.347386
-25.493465,13,377.487299
-35.16448,8,377.661023
-20.14045,15,377.926451
-39.51196,6,378.071142
-38.753502,6,378.206679
-14.255267,18,378.508566
-9.109023,22,378.817018
11.900786,30,379.088415
-9.779054,21,379.368778
-0.981574,28,379.544056
-34.552552,8,379.74748
-35.968207,8,379.925083
4.297621,26,380.308361
-31.288224,10,380.505846
-21.889565,15,380.732313
-33.078767,9,380.908807
-8.835375,20,381.097187
-9.316072,20,381.274844
-27.830653,11,381.396248
-26.61865,12,381.562848
-13.336374,19,381.837227
-40.017558,6,381.970073
-14.77926,18,382.247236
4.538611,28,382.568643
41.028157,40,382.976431
-20.906377,13,383.179857
-35.310304,8,383.301894
-25.19783,12,383.470989
-1.573154,23,383.665107
-35.227577,8,383.86627
0.842502,23,384.12297
-22.281306,14,384.412781
-28.297738,12,384.534825
35.32778,40,385.152464
43.533868,36,385.525828
-29.102897,11,385.71715
-39.640529,6,385.861362
-30.979924,10,386.0801
9.692613,27,386.444892
-32.065618,10,386.579549
-5.091964,21,386.765398
-30.369678,11,386.936114
5.943963,25,387.429638
33.300924,37,387.785784
-34.500195,8,387.981145
-5.009356,23,388.290982
-16.346494,16,388.501447
48.010447,40,389.048225
-3.825246,24,389.222013
-25.807154,13,389.366507
-30.18149,10,389.4969
-2.27658,24,389.74797
10.945857,26,389.994948
-29.78557,11,390.211589
-30.332058,10,390.385276
-33.671346,9,390.559735
-24.316794,14,390.742274
-3.725792,23,391.090863
36.62912,40,391.622354
-34.912483,8,391.799407
-32.355984,9,391.930668
-36.871032,7,392.08599
-13.027578,17,392.249669
45.958138,42,392.478782
-30.969352,10,392.669838
-12.040502,19,392.938881
-32.826895,9,393.080608
-8.245958,22,393.428373
-14.131374,20,393.644012
-30.172261,11,393.820041
28.831219,40,394.033343
-17.930596,17,394.316856
-33.803519,9,394.473771
-39.486985,6,394.655136
20.750259,30,394.866128
-16.550143,17,395.088276
-23.49528,13,395.330227
-21.107441,15,395.605718
-38.811089,6,395.741232
-23.996598,14,395.900818
-27.063798,11,396.081354
7.484322,28,396.511144
-24.993509,13,396.735006
-28.792536,12,396.888732
-29.595387,11,397.052997
-19.113601,14,397.463934
-5.04937,23,397.770908
-30.380187,10,397.933394
38.110548,41,398.464362
-9.14843,22,398.712172
53.898035,47,399.24657
-27.041057,12,399.473313
-35.726528,8,399.659441
69.123689,47,399.996679
-26.094973,13,400.191106
-7.075551,23,400.496432
4.836939,27,400.773558
11.405816,31,401.236456
-23.696926,14,401.455261
-27.905277,12,401.604473
-25.25001,12,401.777029
-15.545114,17,401.956323
-15.871085,17,402.264314
-34.953102,8,402.462818
-31.675983,10,402.639772
-39.284719,6,402.796288
10.04239,31,403.085444
-41.364386,5,403.191098
17.817119,31,403.568321
-31.640157,9,403.727943
56.999575,44,404.244888
-37.202629,7,404.428513
26.676213,32,404.873426
18.206565,35,405.30867
-35.310429,8,405.474959
-20.946222,16,405.758275
-35.882531,8,405.92899
-12.761827,19,406.100866
-32.188083,9,406.321203
17.812823,31,406.722747
-38.791926,6,406.891276
-39.706381,6,407.022847
68.474765,54,407.483238
2.096581,24,407.893444
-5.101552,21,408.100128
-19.364715,15,408.360192
-29.69532,11,408.52646
-22.01232,15,408.727429
11.440114,31,409.041925
58.016214,49,409.365358
1.055106,26,409.543817
-19.675895,15,409.677242
-39.147702,6,409.838183
-14.414757,17,409.981802
-13.391671,17,410.155449
-9.310595,21,410.399735
-1.901635,25,410.659867
-30.520851,11,410.858655
8.707229,24,411.132459
-36.104299,8,411.255588
-10.487231,19,411.534431
0.228657,25,411.836648
-7.898526,18,412.119376
72.667629,59,412.915495
-14.481373,19,413.080068
-27.671036,12,413.266624
1.454307,25,413.502932
7.316895,29,413.788407
-27.190278,12,414.029841
34.093624,38,414.555468
-35.325282,8,414.73131
66.315971,46,415.023989
-23.2929,15,415.259515
20.165448,34,415.605193
-41.519405,5,415.743165
-4.749185,20,415.945428
-16.231664,18,416.203806
-22.621946,14,416.457392
-19.728573,14,416.611078
-34.613995,9,416.767333
15.778277,31,417.234635
28.301133,35,417.615674
1.89686,24,417.7674
-2.521631,25,418.11459
-34.966401,8,418.235795
-42.99317,4,418.376432
-24.78716,13,418.607313
-8.517641,21,418.940674
34.875966,37,419.47138
-26.037076,12,419.615701
-26.420086,13,419.862917
106.659808,78,420.404707
13.212168,28,420.598451
-12.024312,18,420.898255
-37.551734,7,421.026901
26.375277,32,421.473967
-28.847772,11,421.654092
-13.565758,18,421.854861
29.159445,42,422.275553
24.293147,39,422.561575
-26.086189,12,422.81094
-7.81576,25,423.436192
-19.316415,15,423.654335
-31.618797,10,423.769274
-16.697998,15,423.926981
-26.174152,13,424.138879
-35.881833,8,424.303317
-3.094256,22,424.580904
0.657051,29,424.84722
-39.504621,6,425.006098
-28.579048,11,425.215211
19.030457,32,425.714767
-30.052965,10,425.868281
0.107898,24,426.064752
-37.504089,7,426.23668
-35.32316,8,426.432038
39.718633,41,426.674739
16.238165,29,427.073135
-10.314143,20,427.36792
-21.370563,14,427.596113
-23.339573,15,427.760369
-0.387942,25,427.982238
-21.481748,15,428.223228
-10.385097,20,428.563272
-18.81048,17,428.836295
-28.274066,11,428.996047
-11.079962,16,429.294938
-35.363546,8,429.413364
-12.231057,19,429.807949
4.324919,27,430.009998
-24.071247,14,430.267635
-31.203687,10,430.427867
15.415346,31,430.68779
-30.570036,10,430.821986
-33.391159,9,431.012958
75.530335,55,431.475603
-21.370727,14,431.645376
1.181851,23,431.975829
